model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
bopdp.3_078,favoid,-1,16,ltl3dra,10,OK,1.500,2018-05-14.19:13:06,188048,188090,425612,495948,496016,0,0,1,495948,53,6,2,209991,-1,-1
bopdp.3_079,favoid,-1,16,finless,-1,OK,2.100,2018-05-14.19:13:13,2522118,2556438,7142266,2959824,8510526,4,5076123,24571,2951291,2856,3,2,0,-1,-1
bopdp.3_079,favoid,-1,16,ltl3dra,-1,OK,7.230,2018-05-14.19:13:23,2081906,2081906,5494820,6479609,6945125,0,310699,0,6479609,273,3,2,1992974,-1,-1
bopdp.3_079,favoid,-1,16,ltl3tela,-1,OK,5.810,2018-05-14.19:13:31,2539278,2556438,7142266,5501761,9349766,2,3052427,12539,5497161,2893,2,2,1256204,-1,-1
bopdp.3_081,favoid,-1,16,ltl3dra,-1,OK,7.200,2018-05-14.19:13:46,2081906,2081906,5494820,6115503,6583800,0,315637,0,6115503,287,1,2,1986374,-1,-1
bopdp.3_081,favoid,-1,16,rabinizer3,-1,OK,8.210,2018-05-14.19:13:57,2565436,2565436,6820788,7433815,8130894,0,416382,0,7433815,298,2,2,2469904,-1,-1
bopdp.3_082,favoid,-1,16,ltl3tela,10,OK,0.070,2018-05-14.19:13:59,14,126,266,375,673,0,0,2,375,340,1,2,41,-1,-1
bopdp.3_083,favoid,-1,16,finless,-1,OK,1.820,2018-05-14.19:14:04,2509402,2543722,6393244,2879496,7465717,5,4214683,23214,2871061,3544,6,2,0,-1,-1
bopdp.3_083,favoid,-1,16,ltl3dra,-1,OK,6.890,2018-05-14.19:14:14,2081906,2081906,5494820,5989117,6154822,0,96252,0,5989117,153,6,2,2046721,-1,-1
bopdp.3_083,favoid,-1,16,ltl3tela,-1,OK,7.320,2018-05-14.19:14:28,2081906,2081906,5494820,6303016,6673231,0,229748,0,6303016,162,3,2,2011534,-1,-1
bopdp.3_083,favoid,-1,16,rabinizer3,-1,OK,7.590,2018-05-14.19:14:39,2081906,2081906,5494820,6267035,6445138,0,113165,0,6267035,159,4,2,2046721,-1,-1
bopdp.3_087,favoid,-1,16,ltl3dra,-1,OK,12.780,2018-05-14.19:14:55,4163812,4163812,10989640,12005415,12005415,0,0,0,12005415,16,10,4,4163808,-1,-1
bopdp.3_088,favoid,-1,16,ltl3dra,10,OK,0.120,2018-05-14.19:14:59,0,356,631,611,1121,0,0,1,611,611,5,2,0,-1,-1
bopdp.3_088,favoid,-1,16,rabinizer3,10,OK,0.100,2018-05-14.19:15:02,1,296,598,462,928,1,0,0,462,446,5,2,2,-1,-1
bopdp.3_090,favoid,-1,16,rabinizer3,10,OK,1.280,2018-05-14.19:15:06,866240,880933,2205855,937632,2370382,3,1372433,8134,935553,3241,2,3,1494,-1,-1
bopdp.3_091,favoid,-1,16,finless,-1,OK,1.590,2018-05-14.19:15:10,2047586,2081906,5494820,2418820,6532264,5,3757433,23397,2410939,3248,7,2,0,-1,-1
bopdp.3_091,favoid,-1,16,ltl3tela,-1,OK,6.170,2018-05-14.19:15:21,2064746,2081906,5494820,4260349,6304284,2,1876224,11838,4256142,3456,4,2,1040950,-1,-1
